iter	MAE	RMSE
0	0.8003394113	1.069404122
1	0.7999101866	1.068779356
2	0.799467258	1.068132328
3	0.7990389731	1.067522726
4	0.7985996192	1.066892689
5	0.7981739546	1.06627158
6	0.7977598702	1.06568548
7	0.7973541462	1.065106864
8	0.7969353244	1.064506277
9	0.7965015734	1.063878708
10	0.7960763881	1.063273164
11	0.7956651858	1.06270553
12	0.795264267	1.062147174
13	0.7948546669	1.061561864
14	0.794434652	1.060956724
15	0.7940336497	1.060369465
16	0.7936213487	1.059773356
17	0.793263477	1.059284142
18	0.7928706741	1.058719588
19	0.7924660724	1.058133644
20	0.7920529237	1.057559115
21	0.7916287876	1.056952196
22	0.7912518574	1.056427713
23	0.790879613	1.055874105
24	0.7904523005	1.0552512
25	0.7900584201	1.05469646
26	0.7896319421	1.054084465
27	0.7892054298	1.053489439
28	0.788836778	1.052925309
29	0.7884533293	1.052408754
30	0.7880780697	1.05190122
31	0.7876497608	1.051306768
32	0.7872530318	1.050757198
33	0.786856818	1.050218967
34	0.7864484609	1.049651342
35	0.7860446419	1.049083646
36	0.7856195224	1.048494255
37	0.7851983373	1.047908711
38	0.7847851769	1.047317197
39	0.7844031827	1.046799815
40	0.7840376528	1.046304626
41	0.7836329508	1.045738796
42	0.7832390221	1.045183276
43	0.7828552761	1.044635665
44	0.7824388922	1.044047861
45	0.7820226044	1.043467478
46	0.7816474791	1.042957096
47	0.7812659331	1.042444635
48	0.7808561928	1.041871403
49	0.7804462224	1.041297208
50	0.7800392326	1.040733131
51	0.7796372545	1.040163145
52	0.7792689598	1.039684928
53	0.778900873	1.03917112
54	0.778508318	1.038626453
55	0.7781256868	1.038101588
56	0.7777693691	1.037628546
57	0.7773909944	1.037111965
58	0.7770161292	1.036564126
59	0.7766165416	1.036016313
60	0.77622184	1.03547404
61	0.7758499493	1.034965008
62	0.7754927009	1.034469801
63	0.7751208546	1.033977762
64	0.7747201869	1.033426551
65	0.7743544041	1.032929329
66	0.7739451581	1.032376029
67	0.7735918174	1.031908933
68	0.7732245806	1.031404164
69	0.7728552235	1.030908508
70	0.7724674086	1.030385094
71	0.7720915843	1.029877232
72	0.7717442074	1.029400054
73	0.771358005	1.028859228
74	0.7709833545	1.028349334
75	0.7705994138	1.027835915
76	0.7702170332	1.027304403
77	0.7698417024	1.026799191
78	0.7694624579	1.026270023
79	0.7690944513	1.02578265
80	0.7687108707	1.025253793
81	0.7683317273	1.024744401
